Lote,Dia,s21_obs,s21_leitura
lote1,2025-07-21,161,161
lote1,2025-07-22,287,287
lote1,2025-07-23,191,191
lote1,2025-07-24,285,285
lote1,2025-07-25,283,283
lote1,2025-07-26,286,286
lote1,2025-07-27,287,287
lote1,2025-07-28,284,284
lote1,2025-07-29,284,284
lote1,2025-07-30,287,287
lote1,2025-07-31,288,288
lote1,2025-08-01,278,278
lote1,2025-08-02,283,283
lote1,2025-08-03,285,285
lote1,2025-08-04,283,283
lote1,2025-08-05,286,286
lote1,2025-08-06,285,285
lote1,2025-08-07,289,289
lote1,2025-08-08,186,186
lote1,2025-08-10,112,112
lote1,2025-08-11,284,284
lote1,2025-08-12,283,283
lote1,2025-08-13,285,285
lote1,2025-08-14,283,283
lote1,2025-08-15,284,284
lote1,2025-08-16,283,283
lote1,2025-08-17,277,277
lote1,2025-08-18,279,279
lote1,2025-08-19,280,280
lote1,2025-08-20,190,190
lote1,2025-08-21,275,275
lote1,2025-08-22,268,268
lote1,2025-08-23,273,273
lote1,2025-08-24,280,280
lote1,2025-08-25,280,280
lote1,2025-08-26,283,283
lote1,2025-08-27,282,282
lote1,2025-08-28,282,282
lote1,2025-08-29,286,286
lote1,2025-08-30,286,286
lote1,2025-08-31,282,282
lote1,2025-09-01,290,290
lote1,2025-09-02,283,283
lote1,2025-09-03,84,84
lote2,2025-09-26,466,466
lote2,2025-09-27,306,306
lote2,2025-09-28,287,287
lote2,2025-09-29,286,286
lote2,2025-09-30,280,280
lote2,2025-10-01,285,285
lote2,2025-10-02,287,287
lote2,2025-10-03,286,286
lote2,2025-10-04,285,285
lote2,2025-10-05,285,285
lote2,2025-10-06,284,284
lote2,2025-10-07,286,286
lote2,2025-10-08,285,285
lote2,2025-10-09,284,284
lote2,2025-10-10,286,286
lote2,2025-10-11,284,284
lote2,2025-10-12,285,285
lote2,2025-10-13,284,284
lote2,2025-10-14,285,285
lote2,2025-10-15,284,284
lote2,2025-10-16,285,285
lote2,2025-10-17,285,285
lote2,2025-10-18,282,282
lote2,2025-10-19,275,275
lote2,2025-10-20,282,282
lote2,2025-10-21,280,280
lote2,2025-10-22,279,279
lote2,2025-10-23,283,283
lote2,2025-10-24,284,284
lote2,2025-10-25,284,284
lote2,2025-10-26,286,286
lote2,2025-10-27,286,286
lote2,2025-10-28,286,286
lote2,2025-10-29,284,284
lote2,2025-10-30,282,282
lote2,2025-10-31,283,283
lote2,2025-11-01,284,284
lote2,2025-11-02,284,284
lote2,2025-11-03,286,286
lote2,2025-11-04,286,286
lote3,2025-11-23,285,285
lote3,2025-11-24,285,285
lote3,2025-11-25,284,284
lote3,2025-11-26,285,285
lote3,2025-11-27,283,283
lote3,2025-11-28,287,287
lote3,2025-11-29,287,287
lote3,2025-11-30,283,283
lote3,2025-12-01,287,287
lote3,2025-12-02,287,287
lote3,2025-12-03,277,277
lote3,2025-12-04,259,259
lote3,2025-12-05,285,285
lote3,2025-12-06,287,287
lote3,2025-12-07,282,282
lote3,2025-12-08,288,288
lote3,2025-12-09,286,286
lote3,2025-12-10,285,285
lote3,2025-12-11,284,284
lote3,2025-12-12,285,285
lote3,2025-12-13,285,285
lote3,2025-12-14,287,287
lote3,2025-12-15,282,282
lote3,2025-12-16,284,284
lote3,2025-12-17,282,282
lote3,2025-12-18,288,288
lote3,2025-12-19,284,284
lote3,2025-12-20,284,284
lote3,2025-12-21,283,283
lote3,2025-12-22,282,282
lote3,2025-12-23,285,285
lote3,2025-12-24,277,277
lote3,2025-12-25,283,283
lote3,2025-12-26,285,285
lote3,2025-12-27,284,284
lote3,2025-12-28,283,283
lote3,2025-12-29,345,345
lote3,2025-12-30,528,528
lote3,2025-12-31,305,305
lote3,2026-01-01,283,283
lote3,2026-01-02,287,287
lote3,2026-01-03,285,285
