Sensor,Linha,Coluna,total_falhas
15,Linha 3,Coluna 5,4
16,Linha 1,Coluna 6,4
1,Linha 1,Coluna 1,3
2,Linha 2,Coluna 1,3
3,Linha 3,Coluna 1,3
4,Linha 1,Coluna 2,3
5,Linha 2,Coluna 2,3
6,Linha 3,Coluna 2,3
7,Linha 1,Coluna 3,3
8,Linha 2,Coluna 3,3
9,Linha 3,Coluna 3,3
10,Linha 1,Coluna 4,3
11,Linha 2,Coluna 4,3
12,Linha 3,Coluna 4,3
13,Linha 1,Coluna 5,3
14,Linha 2,Coluna 5,3
17,Linha 2,Coluna 6,3
18,Linha 3,Coluna 6,3
19,Linha 1,Coluna 7,3
20,Linha 2,Coluna 7,3
21,Linha 3,Coluna 7,3
22,Linha 1,Coluna 8,3
23,Linha 2,Coluna 8,3
24,Linha 3,Coluna 8,3
25,Linha 1,Coluna 9,3
26,Linha 2,Coluna 9,3
27,Linha 3,Coluna 9,3
28,Linha 1,Coluna 10,3
29,Linha 2,Coluna 10,3
30,Linha 3,Coluna 10,3
