Sensor,gap_cod,gap_classe,freq_abs,total_sensor,freq_rel
1,-1,<5 min,1268,12182,0.10408799868658676
1,0,=5 min,10473,12182,0.8597110490888196
1,1,>5 min,441,12182,0.036200952224593665
2,-1,<5 min,502,11706,0.04288399111566718
2,0,=5 min,10662,11706,0.910814966683752
2,1,>5 min,542,11706,0.0463010422005809
3,-1,<5 min,411,11740,0.035008517887563886
3,0,=5 min,10860,11740,0.9250425894378195
3,1,>5 min,469,11740,0.039948892674616696
4,-1,<5 min,723,6598,0.10957866020006063
4,1,>5 min,5875,6598,0.8904213397999394
5,-1,<5 min,36,5837,0.006167551824567415
5,1,>5 min,5801,5837,0.9938324481754326
6,-1,<5 min,40,5863,0.006822445846836091
6,1,>5 min,5823,5863,0.9931775541531639
7,-1,<5 min,431,11781,0.03658433070197776
7,0,=5 min,10872,11781,0.9228418640183346
7,1,>5 min,478,11781,0.04057380527968763
8,-1,<5 min,560,11624,0.04817618719889883
8,0,=5 min,10394,11624,0.8941844459738472
8,1,>5 min,670,11624,0.05763936682725396
9,-1,<5 min,516,11754,0.04389994895354773
9,0,=5 min,10730,11754,0.9128807214565254
9,1,>5 min,508,11754,0.04321932958992683
10,-1,<5 min,49,5817,0.00842358604091456
10,1,>5 min,5768,5817,0.9915764139590855
11,-1,<5 min,34,5848,0.005813953488372093
11,1,>5 min,5814,5848,0.9941860465116279
12,-1,<5 min,12,5871,0.002043944813490036
12,1,>5 min,5859,5871,0.99795605518651
13,-1,<5 min,509,11654,0.0436759910760254
13,0,=5 min,10570,11654,0.9069847262742406
13,1,>5 min,575,11654,0.049339282649733994
14,-1,<5 min,674,11771,0.0572593662390621
14,0,=5 min,10597,11771,0.9002633591028799
14,1,>5 min,500,11771,0.04247727465805794
15,-1,<5 min,572,11704,0.04887218045112782
15,0,=5 min,10589,11704,0.9047334244702666
15,1,>5 min,543,11704,0.046394395078605606
16,-1,<5 min,126,5621,0.0224159402241594
16,1,>5 min,5495,5621,0.9775840597758406
17,-1,<5 min,62,5795,0.010698878343399483
17,1,>5 min,5733,5795,0.9893011216566006
18,-1,<5 min,98,5756,0.017025712300208478
18,1,>5 min,5658,5756,0.9829742876997916
19,-1,<5 min,604,11663,0.05178770470719369
19,0,=5 min,10461,11663,0.8969390379833662
19,1,>5 min,598,11663,0.05127325730944011
20,-1,<5 min,608,11601,0.05240927506249461
20,0,=5 min,10277,11601,0.8858719075941729
20,1,>5 min,716,11601,0.06171881734333247
21,-1,<5 min,583,11671,0.04995287464655985
21,0,=5 min,10500,11671,0.899665838402879
21,1,>5 min,588,11671,0.05038128695056122
22,-1,<5 min,114,5724,0.019916142557651992
22,1,>5 min,5610,5724,0.980083857442348
23,-1,<5 min,28,5861,0.004777341750554513
23,1,>5 min,5833,5861,0.9952226582494454
24,-1,<5 min,30,5834,0.005142269454919438
24,1,>5 min,5804,5834,0.9948577305450805
25,-1,<5 min,1825,11762,0.15516068695800034
25,0,=5 min,8850,11762,0.7524230573031797
25,1,>5 min,1087,11762,0.09241625573881992
26,-1,<5 min,2455,12397,0.19803178188271356
26,0,=5 min,9141,12397,0.7373558118899733
26,1,>5 min,801,12397,0.06461240622731305
27,-1,<5 min,538,11701,0.045978976155884116
27,0,=5 min,10580,11701,0.9041962225450816
27,1,>5 min,583,11701,0.04982480129903427
28,-1,<5 min,31,5857,0.005292812019805361
28,1,>5 min,5826,5857,0.9947071879801946
29,-1,<5 min,97,5742,0.016893068617206547
29,1,>5 min,5645,5742,0.9831069313827935
30,-1,<5 min,38,5830,0.006518010291595197
30,1,>5 min,5792,5830,0.9934819897084048
