Sensor,Linha,Coluna,max_gap_min,inicio_max_gap,fim_max_gap
29,Linha 2,Coluna 10,30.1,2025-11-29T16:26:59Z,2025-11-29T16:57:05Z
11,Linha 2,Coluna 4,30.083333333333332,2025-11-29T18:07:06Z,2025-11-29T18:37:11Z
16,Linha 1,Coluna 6,20.516666666666666,2025-11-30T02:35:21Z,2025-11-30T02:55:52Z
22,Linha 1,Coluna 8,20.183333333333334,2025-11-28T09:54:07Z,2025-11-28T10:14:18Z
4,Linha 1,Coluna 2,20.066666666666666,2025-11-28T13:56:15Z,2025-11-28T14:16:19Z
5,Linha 2,Coluna 2,20.066666666666666,2025-11-28T07:02:56Z,2025-11-28T07:23:00Z
6,Linha 3,Coluna 2,20.066666666666666,2025-11-28T10:08:49Z,2025-11-28T10:28:53Z
10,Linha 1,Coluna 4,20.066666666666666,2025-11-29T11:58:45Z,2025-11-29T12:18:49Z
12,Linha 3,Coluna 4,20.066666666666666,2025-11-29T10:46:34Z,2025-11-29T11:06:38Z
17,Linha 2,Coluna 6,20.066666666666666,2025-11-30T02:20:15Z,2025-11-30T02:40:19Z
18,Linha 3,Coluna 6,20.066666666666666,2025-11-28T18:39:23Z,2025-11-28T18:59:27Z
23,Linha 2,Coluna 8,20.066666666666666,2025-11-29T00:49:05Z,2025-11-29T01:09:09Z
28,Linha 1,Coluna 10,20.066666666666666,2025-11-29T03:59:28Z,2025-11-29T04:19:32Z
30,Linha 3,Coluna 10,20.066666666666666,2025-11-29T12:28:11Z,2025-11-29T12:48:15Z
24,Linha 3,Coluna 8,20.05,2025-11-28T04:21:18Z,2025-11-28T04:41:21Z
14,Linha 2,Coluna 5,20.016666666666666,2025-11-28T17:43:44Z,2025-11-28T18:03:45Z
13,Linha 1,Coluna 5,20,2025-11-28T06:22:02Z,2025-11-28T06:42:02Z
7,Linha 1,Coluna 3,15,2025-11-29T16:43:58Z,2025-11-29T16:58:58Z
2,Linha 2,Coluna 1,10,2025-11-28T19:07:44Z,2025-11-28T19:17:44Z
8,Linha 2,Coluna 3,10,2025-11-28T21:22:08Z,2025-11-28T21:32:08Z
9,Linha 3,Coluna 3,10,2025-11-29T10:47:02Z,2025-11-29T10:57:02Z
15,Linha 3,Coluna 5,10,2025-11-28T07:10:22Z,2025-11-28T07:20:22Z
19,Linha 1,Coluna 7,10,2025-11-30T02:40:52Z,2025-11-30T02:50:52Z
20,Linha 2,Coluna 7,10,2025-11-28T05:58:16Z,2025-11-28T06:08:16Z
21,Linha 3,Coluna 7,10,2025-11-28T10:44:49Z,2025-11-28T10:54:49Z
25,Linha 1,Coluna 9,10,2025-11-28T15:57:49Z,2025-11-28T16:07:49Z
26,Linha 2,Coluna 9,10,2025-11-28T03:27:32Z,2025-11-28T03:37:32Z
27,Linha 3,Coluna 9,10,2025-11-29T04:12:40Z,2025-11-29T04:22:40Z
1,Linha 1,Coluna 1,5.083333333333333,2025-11-29T06:00:16Z,2025-11-29T06:05:21Z
3,Linha 3,Coluna 1,5.066666666666666,2025-11-29T06:09:29Z,2025-11-29T06:14:33Z
